Player,Team,Rank
Josh Huestis,OKC,69
Jake Layman ,POR,69
Anthony Brown,ORL,69
James Jones,CLE,69
Denzel Valentine ,CHI,68
Kyle Singler ,OKC,68
DeAndre Bembry ,ATL,68
Georges Niang,IND,68
Damjan Rudez ,ORL,67
Danuel House,WAS,66
Treveon Graham ,CHA,65
Nicolas Brussino,DAL,66
Bruno Caboclo,TOR,66
Derrick Jones Jr.,PHX,64
Anthony Davis ,NOP,94
Kevin Love ,CLE,87
Blake Griffin,LAC,87
LaMarcus Aldridge ,SAS,86
Draymond Green ,GSW,86
Chris Bosh,MIA,86
Paul Millsap ,ATL,85
Kristaps Porzingis ,NYK,84
Jabari Parker ,MIL,83
Serge Ibaka ,ORL,80
Zach Randolph,MEM,80
Kenneth Faried ,DEN,79
Taj Gibson ,CHI,79
Dirk Nowitzki ,DAL,79
Markieff Morris ,WAS,79
Ersan Ilyasova ,PHI,78
Julius Randle ,LAL,78
Thaddeus Young ,IND,78
Derrick Favors ,UTA,78
Jon Leuer ,DET,77
Trevor Booker ,BKN,77
Ryan Anderson ,HOU,77
Dwight Powell ,DAL,77
Larry Nance Jr ,LAL,77
Terrence Jones ,NOP,76
Luc Mbah a Moute ,LAC,76
Michael Beasley ,MIL,76
Aaron Gordon,ORL,76
Nikola Mirotic,CHI,76
Marvin Williams ,CHA,75
JaMychal Green ,MEM,75
Montrezl Harrell ,HOU,75
David Lee ,SAS,75
David West,GSW,75
Dario Saric ,PHI,75
Mirza Teletovic ,MIL,75
Amir Johnson ,BOS,74
Willie Reed ,MIA,74
Brandon Bass,LAC,74
Channing Frye,CLE,74
Luis Scola,BKN,74
Kris Humphries ,ATL,74
Mindaugas Kuzminskas ,NYK,74
Patrick Patterson ,TOR,74
Donatas Motiejunas,NOP,74
Marquese Chriss ,PHX,73
Thomas Robinson,LAL,73
Richaun Holmes ,PHI,73
Darrell Arthur ,DEN,73
Bobby Portis ,CHI,73
Trey Lyles ,UTA,73
Anthony Tolliver ,SAC,73
Jared Dudley ,PHX,73
Jonas Jerebko,BOS,73
Boris Diaw ,UTA,73
Pascal Siakam ,TOR,72
Kevon Looney ,GSW,72
Nemanja Bjellica ,MIN,72
Josh McRoberts,MIA,72
Mike Scott ,ATL,72
Quincy Acy,BKN,72
Nick Collison,OKC,72
Davis Bertans ,SAS,71
Meyers Leonard ,POR,71
Alan Williams ,PHX,71
Adrien Payne ,MIN,71
Jordan Mickey,BOS,71
Deyonta Davis ,MEM,71
Noah Vonleh,POR,70
Lavoy Allen ,IND,70
Jarell Martin,MEM,70
Udonis Haslem,MIA,70
Chris McCullough ,BKN,70
Juancho Hernangomez ,DEN,69
Andrew Nicholson ,WAS,69
Maurice N'dour,NYK,69
Brice Johnson,LAC,69
Christian Wood,CHA,69
James Michael McAdoo ,GSW,67
Johnny O'Bryant,DEN,67
Joel Bolomboy,UTA,67
Chinanu Onuaku,HOU,67
Rakeem Christmas,IND,66
Kyle Wiltjer,HOU,65
Daniel Ochefu,WAS,65
DeMarcus Cousins ,SAC,93
Marc Gasol ,MEM,89
Karl-Anthony Towns,MIN,88
Joel Embiid ,PHI,86
Rudy Gobert ,UTA,86
Andre Drummond ,DET,86
DeAndre Jordan ,LAC,86
Hassan Whiteside,MIA,86
Nikola Jokic ,DEN,85
Dwight Howard ,ATL,84
Al Horford ,BOS,84
Brook Lopez ,BKN,83
Myles Turner ,IND,83
Pau Gasol ,SAS,82
Jonas Valanciunas ,TOR,81
Steven Adams,OKC,81
Nikola Vucevic,ORL,80
Enes Kanter ,OKC,80
Clint Capela ,HOU,79
Mason Plumlee ,POR,79
Tristan Thompson ,CLE,79
Greg Monroe,MIL,79
Marcin Gortat ,WAS,78
Nerlens Noel ,PHI,78
Cody Zeller ,CHA,77
Tyson Chandler ,PHX,77
Gorgui Dieng,MIN,77
Marreese Speights ,LAC,77
Al Jefferson ,IND,77
Jared Sullinger,TOR,77
Zaza Pachulia,GSW,76
Joakim Noah ,NYK,76
Robin Lopez ,CHI,76
Kyle O'Quinn,NYK,76
Nene ,HOU,76
Jusuf Nurkic ,DEN,76
Ian Mahinmi,WAS,76
Festus Ezeli,POR,76
Brandan Wright,MEM,76
John Henson ,MIL,75
Willy Hernangomez ,NYK,75
Jahlil Okafor ,PHI,75
Alex Len,PHX,75
Spencer Hawes ,MIL,75
Jeff Withey ,UTA,75
Tiago Splitter,ATL,75
Timofey Mozgov ,LAL,74
Andrew Bogut ,DAL,74
Tarik Black ,LAL,74
Mike Muscala ,ATL,74
Kelly Olynyk ,BOS,74
Salah Mejri,DAL,74
Frank Kaminsky ,CHA,74
Nikola Pekovic,MIN,74
Kosta Koufos ,SAC,73
JaVale McGee ,GSW,73
Dewayne Dedmon ,SAS,73
Tyler Zeller ,BOS,73
Roy Hibbert,MIL,73
Joffrey Lauvergne ,OKC,73
Bismack Biyombo ,ORL,73
Cole Aldrich ,MIN,73
Chris Andersen,CLE,73
Lucas Nogueira ,TOR,72
Cristiano Felicio ,CHI,72
Jason Smith ,WAS,72
Ed Davis ,POR,72
Aron Baynes ,DET,72
Boban Marjanovic ,DET,72
Domantas Sabonis ,OKC,71
Willie Cauley-Stein ,SAC,71
Omer Asik ,NOP,71
Jordan Hill ,MIN,71
Thon Maker,MIL,71
Kevin Seraphin ,IND,71
Alexis Ajinca ,NOP,71
Justin Hamilton ,BKN,70
Ivica Zubac ,LAL,70
Dragan Bender ,PHX,70
Jakob Poeltl,TOR,71
Georgios Papagiannis,SAC,70
Skal Labissiere,SAC,70
Henry Ellenson,DET,70
Miles Plumlee ,CHA,69
A.J. Hammons ,DAL,68
Damian Jones,GSW,68
Stephen Zimmerman,ORL,67
Cheick Diallo,NOP,67
Diamond Stone,LAC,66
Joel Anthony,SAS,65
Marshall Plumlee,NYK,65
